Disease,"  Active TB/HIV,  Treatment Regimen",  Active TB/HIV- Treatment Regimen,  MDR-TB Treatment Regimen,,,  XDR-TB Treatment Regimen,total impact,Malaria (p.falc),,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,Malaria,HIV,,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,Worms,,,,Schistosomiasis,,LF,,,Total
China,"39,843.43","1,896,250.56",108.67,16.82,183.48,"1,166.40","1,937,569.36",0,0,45.49,0,39.07,0,0,45.52,43.34,0,0,0,0,0,173.42,406.71,0,0,0,0,0,0,406.71,580.13,"17,575.57",44.85,"7,237.98",0,"7,890.51","7,463.24","1,063.62",129.27,"11,040.51","3,465.85",0,0,"55,911.39", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,  -   ,"1,994,234.30"
"China, Hong Kong SAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
"China, Macao SAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
Colombia,"10,682.95","51,059.39",24.76,3.83,42.89,9.2,"61,823.01",0,0,0,28.9,0,0,0,0,0,0,0,0,0,0,28.9,58.85,0,0,0,0,0,0,58.85,87.75,722.55,19.74,563.6,0,39.2,493.93,56.19,78.93,117.85,156.2,88.03,0,"2,336.21","1,642.97","1,066.85", ,453.05,56.13,100.8,175.27, ,"2,709.82",509.18,276.07,"3,495.06",,  -   ,,,  -   ,"67,770.94"
Comoros,0,"11,366.45",0,0,0,7.33,"11,373.78","16,347.34",0,0,0,0,0,0,0,0,0,0,0,0,0,"16,347.34",47.66,36.95,37.83,19.87,47.66,20.91,37.83,248.69,"16,596.03",0.05,0,0.02,0,0.02,0.02,0,0,0.03,0.01,0,0,0.15,116.21, , ,42.9, ,15.26, , ,116.21,42.9,15.26,174.37,,  -   ,2.74,,2.74,"44,494.41"
Republic of the Congo,"7,742.29","52,371.63",0,0,0,41.44,"60,155.35",0,0,0,0,"142,676.35",0,0,0,0,0,0,0,0,0,"142,676.35",0,0,0,0,0,0,0,0,"142,676.35","7,507.35",134.66,"3,037.84",0,"3,430.14","3,071.67",397.49,138.21,"4,674.50","1,302.19",0,0,"23,694.06",204.01, , ,94.04, ,34.96, ,45.35,204.01,94.04,80.31,378.36,595.61,595.61,,22.24,22.24,"370,198.31"
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
Costa Rica,242.78,"3,024.64",0,0,0,0.14,"3,267.56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0.06,0.06,28.62,0.74,22.62,0.01,1.47,19.77,2.13,3.08,4.57,5.92,3.33,0.01,92.28, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"3,359.90"
Cote d'Ivoire,"45,851.44","219,578.31",0,0,0,186.94,"265,616.68",0,0,0,0,"1,068,511.62",0,0,0,0,0,0,0,0,0,"1,068,511.62",0,0,0,0,0,0,0,0,"1,068,511.62","62,080.18",655.8,"25,347.08",0,"28,133.83","25,814.71","3,498.52",812.83,"38,852.91","11,441.99",0,0,"196,637.84", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"7,423.72","7,423.72",,50.76,50.76,"2,606,752.26"
Croatia,592.02,"3,030.43",0,0,0,2.54,"3,624.99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.24,0,2.17,0,2.36,2.2,0.31,0.03,3.33,1.02,0,0,16.66, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"3,641.65"
Cuba,189.58,"4,172.04",0.17,0.03,0.29,0.2,"4,362.32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.11,6.13,194.46,0.08,12.15,170.65,17.72,25.5,38.07,49.17,27.64,0.05,785.72, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"5,148.04"
Curacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
Cyprus,20.17,103.24,0,0,0,0.09,123.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.04,0.11,0,0.17,0.1,0,0.03,0.18,0,0,0,0.96, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,124.46
Czech Republic,70.82,"3,724.88",1.66,0.26,6.07,0.07,"3,803.76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.01,0.02,0,0.03,0.02,0,0.01,0.03,0,0,0,0.15, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"3,803.91"
Democratic People's Republic of Korea,0,"193,456.50",0,0,0,124.84,"193,581.34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,1.53,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"193,582.87"
Democratic Republic of the Congo,"250,632.95","1,724,152.72",30.39,4.71,66.03,844.27,"1,975,731.07",0,0,0,0,"4,330,033.35",0,0,0,0,0,0,0,0,0,"4,330,033.35",0,0,0,0,0,0,0,0,"4,330,033.35","21,841.19",582.54,"8,700.25",0,"10,022.74","8,981.76","1,131.01",546.44,"13,355.50","3,666.66",0,0,"68,828.08",66.24, ,76.73,91.15, ,7.87, ,9.76,142.97,91.15,17.63,251.75,"10,823.41","10,823.41",,7.96,7.96,"10,715,708.98"
Denmark,0,"1,419.48",0.61,0.09,0.94,0.01,"1,421.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38,0.61,1.47,0,2.3,1.35,0,0.46,2.47,0,0,0,13.03, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"1,434.17"
Djibouti,935.4,"11,043.90",0,0,0,8.05,"11,987.35",0,106.86,0,0,0,0,0,0,0,0,0,0,0,0,106.86,0,0,0,0,0,0,0,0,106.86,89,0.38,36.52,0,39.97,37.95,5.4,0.77,55.63,17.54,0,0,283.16, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"12,484.23"
Dominica,18.84,57.61,0,0,0,0.06,76.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79,0.15,6.69,0.08,0.29,5.02,0.42,1.15,1.42,1.17,0.66,0.05,24.88, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,101.38
Dominican Republic,"3,576.05","19,412.10",19.97,3.09,33.55,10.51,"23,055.27",0,0,0,0,0,8.99,0,0,0,0,0,0,0,0,8.99,0,0,0,0,0,0,0,0,8.99,"2,073.29",49.69,"1,678.17",6.93,98.55,"1,402.06",142.89,248.26,345.47,396.69,223.2,4.12,"6,669.33", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,0.02,,0.02,"29,742.59"
Ecuador,"2,377.49","40,489.26",20.84,3.23,36.08,21.58,"42,948.48",0,6.56,0,0,0,0,0,0,0,0,0,0,0,0,6.56,32.74,0,0,0,0,0,0,32.74,39.3,439.46,11.52,346.48,0.12,22.86,303.12,33.04,47.34,70.44,91.75,51.65,0.07,"1,417.84", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"44,412.18"
Egypt,94.48,"92,371.71",9.47,1.47,28.89,59.7,"92,565.72",3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,3.85,30.93,0.15,12.66,0,13.88,13.27,1.9,0.29,19.25,6.14,0,0,98.45, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"51,167.05","51,167.05",,0.03,0.03,"143,838.94"
El Salvador,437.09,"5,521.04",0.31,0.05,0.56,2.05,"5,961.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500.3,12.13,404.07,1.77,24.08,335.96,34.77,61,84.46,96.57,54.36,1.05,"1,610.53", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"7,571.64"
Equatorial Guinea,"1,323.16","5,044.29",0,0,0,4.56,"6,372.01",0,0,0,0,"26,990.04",0,0,0,0,0,0,0,0,0,"26,990.04",0,0,0,0,0,0,0,0,"26,990.04",857.68,3.46,352.5,0,385.53,363.57,51.46,7.24,537.83,167.65,0,0,"2,726.94",68.47, ,87.25,17.53, ,8.61, ,11.28,155.71,17.53,19.89,193.13,10.8,10.8,,2.22,2.22,"63,285.18"
Eritrea,"19,232.38","98,447.18",0,0,0,82.51,"117,762.07",0,0,0,0,"1,978.88",0,0,0,0,0,0,0,0,0,"1,978.88",983.64,0,0,0,0,0,0,983.64,"2,962.53",272,0.79,112.35,0,122.5,113.72,15.93,2.02,172.08,52.29,0,0,863.69, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,42.06,42.06,,0.01,0.01,"123,609.24"
Estonia,141.22,"1,676.59",12.72,1.97,61.99,1.58,"1,896.07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0.07,0.18,0,0.28,0.17,0,0.06,0.31,0,0,0,1.61, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"1,897.68"
Ethiopia,"217,241.59","1,935,136.00",61.76,9.56,122.72,413.97,"2,152,985.59","188,291.80",0,0,0,0,0,0,0,0,0,0,0,0,0,"188,291.80",0,"110,329.99",0,0,0,0,0,"110,329.99","298,621.79","35,455.00",830.4,"14,246.13",0,"16,292.84","14,352.06","1,793.45",793.59,"21,976.07","5,879.07",0,0,"111,618.62", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"2,539.07","2,539.07",,0,0,"2,754,056.87"
Fiji,26.31,"2,064.78",0,0,0,1.36,"2,092.45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.67,0.02,15.2,0,16.49,15.35,2.17,0.21,23.28,7.14,0,0,116.53,32.57, , ,33.74, ,0.22, , ,32.57,33.74,0.22,66.53,,  -   ,8.54,,8.54,"2,284.05"
Finland,"1,322.17",0,1.9,0.29,2.42,0.04,"1,326.82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"1,326.83"
France,"1,771.75","24,895.94",0,0,0,0.53,"26,668.22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77,1.08,2.62,0,4.08,2.4,0,0.82,4.39,0,0,0,23.15, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"26,691.37"
French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,,  -   ,0
Gabon,"6,212.88","6,594.10",0,0,0,10.39,"12,817.37",0,0,0,0,"31,017.43",0,0,0,0,0,0,0,0,0,"31,017.43",0,0,0,0,0,0,0,0,"31,017.43",404.82,3.6,165.97,0,183.48,167.29,22.66,4.76,254.88,74.43,0,0,"1,281.89",251.68, ,368.53,40.26, ,46.33, ,30.69,620.21,40.26,77.01,737.49,118.9,118.9,,0.54,0.54,"76,991.05"
Gambia,"1,285.70","15,252.83",0,0,0,11.11,"16,549.64","32,537.41",0,0,0,0,0,0,0,0,0,0,0,0,0,"32,537.41",0,0,0,0,0,0,0,0,"32,537.41",742.35,6.42,303.8,0,335.73,309.94,42.48,8.69,465.25,138.88,0,0,"2,353.53", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,385.81,385.81,,1.94,1.94,"84,365.75"
Georgia,197.75,"15,601.47",81.18,12.57,169.13,8.5,"16,070.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.31,0.31,85.15,0,92.51,85.19,11.91,1.29,130.7,39.26,0,0,651.62, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"16,722.22"
Germany,"3,000.64","15,359.76",9.87,1.53,19.48,1.73,"18,393.02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1,3.33,8.12,0,12.64,7.43,0,2.53,13.6,0,0,0,71.76, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"18,464.78"
Ghana,"29,454.93","125,735.55",1.14,0.18,2.58,114.47,"155,308.85","510,876.87",0,0,0,"424,873.70",0,0,0,0,0,0,0,0,0,"935,750.57",0,0,0,0,0,0,0,0,"935,750.57","22,259.97",241.19,"9,084.04",0,"10,089.45","9,258.13","1,253.74",296.02,"13,923.39","4,099.03",0,0,"70,504.95", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"1,948.00","1,948.00",,126.83,126.83,"2,099,389.77"
Greece,518.74,"2,655.33",0.44,0.07,1.11,0.24,"3,175.93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.01,0.03,0,0.05,0.03,0,0.01,0.05,0,0,0,0.27, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"3,176.19"
Greenland,10.71,54.83,0,0,0,0.05,65.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,65.59
Grenada,16.37,75.11,0,0,0,0.06,91.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.29,1.01,40.43,0.32,2,32.04,2.92,6.42,8.34,8.1,4.55,0.19,154.61, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,246.16
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
Guatemala,"3,924.21","43,906.71",2.57,0.4,7.06,47.01,"47,887.95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.46,0,0,0,0,0,0,73.46,73.46,"1,513.27",19.76,616.93,0,688.83,621.15,82.22,22.39,948.96,269.98,0,0,"4,783.48", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"52,744.89"
Guinea,"29,991.32","132,746.41",8.72,1.35,20.59,16.58,"162,784.97",0,0,0,0,"606,071.68",0,0,0,0,0,0,0,0,0,"606,071.68",0,0,0,0,0,0,0,0,"606,071.68","5,660.94",69.49,"2,314.89",0,"2,577.65","2,308.40",304.29,80.08,"3,566.28","1,003.19",0,0,"17,885.21", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"1,976.98","1,976.98",,10.57,10.57,"1,394,801.11"
Guinea-Bissau,"7,399.46","18,570.59",0,0,0,19.28,"25,989.34","265,215.20",0,0,0,0,0,0,0,0,0,0,0,0,0,"265,215.20",0,0,0,0,0,0,0,0,"265,215.20","1,621.95",19.82,661.98,0,737.35,667.28,88.83,23.04,"1,017.47",291.63,0,0,"5,129.35", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,220.94,220.94,,8.4,8.4,"561,778.42"
Guyana,694.58,"2,667.74",0,0,0,2.41,"3,364.73",0,0,0,0,0,0,0,0,0,12.43,0,0,0,0,12.43,12.87,0,0,0,0,0,0,12.87,25.3,598.74,14.31,484.43,1.61,28.35,409.28,41.28,69.26,97.72,114.55,64.41,0.96,"1,924.90", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,1.75,,1.75,"5,329.12"
Haiti,"29,132.40","179,539.21",18.57,2.88,32.39,73.63,"208,799.08",0,0,0,0,0,539.33,0,0,0,0,0,0,0,0,539.33,0,0,0,0,0,0,0,0,539.33,"1,876.13",43.45,"1,535.77",10.43,86.22,"1,238.22",124.37,245.13,326.86,345.49,194.53,6.19,"6,032.79", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,146.51,,146.51,"216,057.05"
Honduras,"1,596.67","16,469.73",1.94,0.3,3.16,6.91,"18,078.71",0,0,0,0,0,1.33,0,0,0,0,0,0,0,0,1.33,26.49,0,0,0,0,0,0,26.49,27.82,973.8,24.49,778.55,2.43,48.62,657.38,70.05,115.09,162.77,194.61,109.6,1.44,"3,138.83", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"21,246.68"
Hungary,"6,471.34",0,3.89,0.6,9.32,0.92,"6,486.07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.47,0.01,8.88,0,9.63,9.11,1.31,0.12,13.55,4.27,0,0,68.34, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"6,554.41"
Iceland,1.93,59.09,0,0,0,0.04,61.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.01,0,0.02,0.01,0,0,0.02,0,0,0,0.09, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,61.15
India,"976,080.87","15,806,431.41",681,105.43,"1,532.75","11,163.21","16,795,994.68",0,"108,252.78",0,0,0,0,0,0,0,0,0,0,0,0,"108,252.78","110,584.28",0,0,0,0,0,0,"110,584.28","218,837.06","21,620.50",241.98,"8,806.55",0,"9,797.79","9,030.49","1,227.31",294.22,"13,486.50","4,001.48",0,0,"68,506.82", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,"1,499.49",,"1,499.49","17,193,090.83"
Indonesia,"1,866,647.43","4,245,027.34",88.29,13.67,164.78,"2,595.50","6,114,537.01",0,0,0,0,"8,605.75",0,"8,309.08",0,0,0,0,0,0,0,"16,914.83",0,0,0,0,0,"4,191.40","6,747.37","10,938.77","27,853.60","11,747.49",78.56,"4,806.45",0,"5,290.43","4,979.75",698.69,122.51,"7,332.31","2,270.74",0,0,"37,326.94", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,"6,196,632.38"
Iran,"12,374.33","48,418.23",0,0,0,43.45,"60,836.02",0,8.91,0,0,0,0,0,0,0,0,0,0,0,0,8.91,47,0,0,0,0,0,0,47,55.91,329.88,0.71,135.41,0,147.52,142.55,20.72,2.4,205.56,66.97,0,0,"1,051.73", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"61,952.56"
Iraq,6.6,"67,732.09",6.8,1.05,21.42,45.41,"67,813.38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"67,813.38"
Ireland,144.73,"1,224.51",0.33,0.05,0.5,0.06,"1,370.19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0.1,0.23,0,0.36,0.21,0,0.07,0.39,0,0,0,2.06, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"1,372.25"
Israel,43.42,"1,506.48",1.97,0.31,5.32,0.17,"1,557.66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"1,557.66"
Italy,"2,405.13","12,311.45",0,0,0,1.92,"14,718.51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.91,1.09,2.67,0,4.15,2.44,0,0.83,4.47,0,0,0,23.57, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"14,742.07"
Jamaica,138.85,693.53,0.3,0.05,0.4,0.58,833.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,327.98",32.43,"1,070.61",4.48,64.36,891.48,92.83,161.63,224.32,257.89,145.21,2.66,"4,275.87", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"5,109.58"
Japan,377.71,"131,248.95",0,0,0,3.96,"131,630.62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.23,0.89,7.87,0,9.52,7.93,0.87,0.76,12.27,2.82,0,0,63.15, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"131,693.76"
Jordan,0,"3,216.38",2.78,0.43,8.77,0.84,"3,229.21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"3,229.21"
